Species	1-155	156-387	388-884	885-1401	1402-1900	1901-2398	2399-2924	2925-3433	3434-3947	3948-4426	4427-4920	4921-5420	5421-6176	6177-6290	6291-6499	6500-7084	7085-7673	7674-8298	8299-8902	8903-9014	9015-9459	9460-9843	9844-10206	10207-10430	10431-10545	10546-10669	10670-10904	10905-11291	11292-11698	11699-12078	12079-12487	12488-13230	13231-13408	13409-13622	13623-13853	13854-14071	14072-14300	14301-14530	14531-14753	14754-14934	14935-15139	15140-15341	15342-15566	15567-15762	15763-15959	15960-16135	16136-16340	16341-16745	16746-16957	16958-17126	17127-17287	17288-17460	17461-17572	17573-17776	17777-17968	17969-18136	18137-18314	18315-18499	18500-18747	18748-18906	18907-19058	19059-19151	19152-19289	19290-19406	19407-19543	19544-19674	19675-19798	19799-19931	19932-20318	20319-20423	20424-20531	20532-20653	20654-20752	20753-20857	20858-20971	20972-21048	21049-21129	21130-21193	21194-21244	21245-21345	21346-21435	21436-21743	21744-22020	22021-22136	22137-22344	22345-22515	22516-22789	22790-23027	23028-23110	23111-23249	23250-23400	23401-23534	23535-23672	23673-23808	23809-23920	23921-24070	24071-24199	24200-24411	24412-24513	24514-24643	24644-24786	24787-24901	24902-24987	24988-25085	25086-25167	25168-25227	25228-25283	25284-25339	25340-25555	25556-25808	25809-25993	25994-26210	26211-26377	26378-26546	26547-26716	26717-27128	27129-27339	27340-27746	27747-28048	28049-28338	28339-28410	28411-28640	28641-28869	28870-28990	28991-29128	29129-29311	29312-29381	29382-29529	29530-29581	29582-29694	29695-29910	29911-29994	29995-30083	30084-30167	30168-30275	30276-30390	30391-30598	30599-30678	30679-30751	30752-30947	30948-31048	31049-31119	31120-31202	31203-31454	31455-31562	31563-31752	31753-31895	31896-32048	32049-32095	32096-32313	32314-32381	32382-32613	32614-32760	32761-32843	32844-32917	32918-33049	33050-33236	33237-33379	33380-33503	33504-33568	33569-33610	33611-33875	33876-33959	33960-34120	34121-34197	34198-34289	34290-34339	34340-34462	34463-34547	34548-34636	34637-34705	34706-34772	34773-34878	34879-34987	34988-35233	35234-35303	35304-35383	35384-35505	35506-35574	35575-35716	35717-35837	35838-36081	36082-36275	36276-36373	36374-36449	36450-36558	36559-36708	36709-36897	36898-36947	36948-37036	37037-37141	37142-37342	37343-37512	37513-37653	37654-37841	37842-38079	38080-38330
Ciona_intestinalis	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	0	100	97	98	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	92	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	88	100	100	100	100	100	100	100	100	100	100	100	100	89	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Halocynthia	100	100	100	92	0	81	97	93	76	95	44	54	100	100	0	97	87	100	75	100	100	100	100	0	100	0	100	100	0	77	100	89	100	36	100	74	0	0	0	0	0	100	0	100	0	27	100	100	0	0	100	85	0	0	0	0	66	49	90	0	100	92	0	0	0	0	0	97	99	100	100	100	0	0	0	100	0	0	0	99	0	73	100	0	0	97	100	0	100	0	0	0	87	0	0	0	0	100	0	0	0	0	0	0	0	100	0	0	68	0	0	100	0	92	100	92	99	94	48	0	0	100	22	86	100	100	0	0	0	56	0	0	0	100	100	0	100	100	0	100	100	0	0	100	100	100	100	48	100	100	100	100	100	100	100	94	0	100	0	0	100	0	100	71	0	0	0	100	100	100	0	0	100	95	100	100	100	100	100	92	100	72	0	100	100	100	0	84	0	100	0	84	100	100	87	100	54
Molgula_tectiformis	100	100	100	100	100	100	100	100	87	96	100	99	100	0	100	100	98	100	100	100	87	100	100	96	100	100	100	100	99	100	100	100	100	0	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	80	100	100	100	100	100	92	100	100	100	99	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	0	100	91	99	99	99	100	100	0	100	100	0	100	99	100	0	0	0	100	100	100	100	100	99	100	100	100	100	100	100	92	0	100	100	100	100	0	100	0	100	100	100	100	0	100	100	100	99	100	100	100	100	100	100	100	100	98	100	100	96	100	100	100	100	100	0	100	100	100
Branchiostoma_OTU	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Eptatretus_OTU	100	100	100	100	52	90	82	87	100	100	0	28	62	100	100	23	61	93	0	100	91	0	55	56	100	100	100	81	82	0	99	41	100	100	7	100	100	50	100	100	78	92	89	100	100	100	43	0	100	100	100	100	100	100	100	100	100	97	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	0	95	100	0	100	32	100	98	97	100	0	0	0	75	0	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	23	0	100	100	100	100	100	100	81	100	0	100	100	100	100	0	100	100	100	100	100	100	99	0	100	62	0	100	100	100	100	0	55	74	100	0	100	100	87	0	100	100	77	0	0	99	99	100
Petromyzon_OTU	100	100	100	22	100	100	100	95	100	0	100	100	100	100	100	100	98	100	100	0	100	100	66	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	100	100	100	62	95	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	93	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	97	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	94	100	100	100	100	100	100	0	100	100	100	100	38	99	100	92	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	27	100	40	100	100	98	100	100	100	100	100	38	100	100	100	99	100	100	0	100	100	0	100	0	100	100	100	100	100	100	100	100	100	99	100	75	100	100	100	100	100
Leucoraja_OTU	100	100	100	100	87	66	100	96	96	95	100	89	85	100	100	55	100	100	93	0	77	91	100	92	100	51	100	58	100	71	52	97	49	93	58	100	80	100	100	100	100	61	93	100	97	95	100	82	91	100	100	100	100	100	100	100	99	100	94	95	100	100	100	100	100	100	100	100	100	100	100	100	70	0	0	72	100	100	100	100	100	100	100	100	64	100	97	96	100	100	100	100	100	100	100	100	100	100	100	35	100	100	100	100	0	100	100	100	100	98	100	100	100	100	100	91	100	100	100	100	100	95	92	100	75	96	0	100	99	59	88	100	100	0	100	100	100	100	31	100	99	100	100	100	100	100	100	100	100	56	0	100	0	100	100	100	100	100	100	100	0	100	100	100	52	100	100	100	100	0	0	78	42	100	100	0	100	100	56	100	83	100	98	54	47	0	85	100	100	100	100	77	100	100	86	100	73
Danio_rerio	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	47	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	100	100	100	52	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
Gallus_OTU	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	96	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	95	100	100	100	100	100	100	100	0	89	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	100	100	100	100	100	86	100	100	100	100	100	100	100	100	100	92	100	100	85	100	100	100	100	0	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	92	100	100	100	100	100	6	0	36	100	99	73	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	0	100	100	100	100	100	100	100	100	77	0	100	100	100	100	100	100	100	100	100	100	100
Xenopus_tropicalis	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	53	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	75	100	0	100	100	100	100	100	100	100	100	100	100	100	100	100	90	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	67	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	54	100	100	100	100	100	100	100	100	100	100	100	100
Xenoturbella_bocki	100	48	61	0	93	26	0	55	0	100	58	75	100	0	100	93	48	100	18	100	65	0	58	42	100	0	100	0	0	71	12	0	100	0	100	0	79	0	96	0	0	100	0	0	76	0	0	0	100	100	100	100	100	100	100	100	100	24	100	100	98	0	98	100	100	100	100	100	100	100	100	100	100	0	100	100	100	99	100	100	100	100	100	100	100	100	100	99	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	97	100	100	100	0	99	100	100	100	100	100	100	100	100	37	0	99	0	0	96	0	68	0	0	100	100	82	92	0	100	100	100	0	100	0	100	100	0	100	100	100	100	100	100	100	100	100	0	0	22	0	100	100	0	100	100	0	0	0	0	45	0	0	0	0	0	0	0	100	0	0	100	0	0	0	0	100	0	100	0	0	100	0	0	100	100	100	0	70	0	100	0	100	0
Meara_stichopi	0	0	0	0	35	0	0	0	0	0	0	0	31	100	100	40	0	61	0	0	16	0	79	15	100	0	99	63	0	48	9	0	0	0	0	0	0	0	100	0	0	0	16	0	0	0	0	11	100	100	100	0	100	100	100	95	100	100	100	100	100	100	100	100	0	100	100	100	89	98	100	100	100	100	100	100	100	99	100	98	97	0	0	100	100	98	100	100	100	100	100	100	100	100	98	96	100	100	100	95	100	0	100	97	100	100	100	100	100	100	100	100	100	0	100	60	100	0	0	0	0	0	36	0	40	0	0	0	0	0	0	100	0	0	0	0	0	0	100	0	0	100	0	0	0	0	0	100	0	0	0	100	100	0	0	100	0	100	0	0	0	0	0	0	0	0	0	100	0	100	100	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	97	100	0	100	0	100	0	0	100	0
Nemertoderma_westbladi	0	0	55	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	38	64	55	0	0	100	100	100	96	0	0	0	64	0	100	100	0	99	0	0	100	100	100	0	100	0	0	100	0	0	100	100	100	100	100	100	100	100	100	100	100	100	99	100	100	100	98	100	100	97	99	100	100	100	100	100	100	100	100	99	100	100	0	83	90	100	100	100	99	100	100	100	100	100	100	100	0	100	100	100	0	100	100	100	100	100	100	100	0	100	100	100	100	100	100	100	100	66	100	47	0	0	99	0	0	100	90	0	0	100	0	100	0	100	100	98	0	0	0	0	100	0	100	100	0	0	0	0	0	100	0	98	100	0	81	100	0	90	100	100	100	0	0	0	0	0	0	100	0	0	83	96	0	0	100	0	85	100	100	0	0	100	0	0	0	0	100	0	100	0	0	0	0	0	0	100	0	0	0
Ptychodera	0	44	48	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	0	100	0	0	100	0	0	0	100	100	100	100	100	0	0	0	0	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	0	100	100	100	95	100	100	100	0	100	100	100	99	100	100	100	100	94	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	98	100	100	98	100	100	100	100	100	100	100	100	100	100	100	100	75	100	0	0	0	0	0	0	0	0	0	98	0	100	0	0	0	100	0	0	86	0	100	100	83	100	100	100	8	0	0	95	100	100	0	100	86	100	100	100	0	0	100	100	0	100	94	0	0	100	0	100	100	0	100	100	100	100	100	0	99	0	0	100	0	100	91	100	0	100	0	0	0	100	0	0	95	0	0	0	0	100
